# Index,Time,Position,Velocity
0,0.000000,0.000000,0.000000
1,0.100000,0.000000,0.069979
2,0.200000,0.006998,0.198222
3,0.300000,0.026820,0.583195
4,0.400000,0.085140,1.176285
5,0.500000,0.202768,1.134427
6,0.600000,0.316211,0.919987
7,0.700000,0.408209,1.024567
8,0.800000,0.510666,1.123174
9,0.900000,0.622984,1.254009
10,1.000000,0.748384,1.027158
11,1.100000,0.851100,1.305901
12,1.200000,0.981690,1.312873
13,1.300000,1.112978,1.269551
14,1.400000,1.239933,1.367507
15,1.500000,1.376683,1.019362
16,1.600000,1.478620,0.702428
17,1.700000,1.548862,0.234686
18,1.800000,1.572331,0.355588
19,1.900000,1.607890,0.238623
20,2.000000,1.631752,0.182875
21,2.100000,1.650040,0.202210
22,2.200000,1.670261,0.196541
23,2.300000,1.689915,0.371886
24,2.400000,1.727103,0.194028
25,2.500000,1.746506,-0.070886
26,2.600000,1.739418,0.211565
27,2.700000,1.760574,0.312216
28,2.800000,1.791796,0.675263
29,2.900000,1.859322,0.890863
30,3.000000,1.948408,0.609290
31,3.100000,2.009337,0.623887
32,3.200000,2.071726,0.351989
33,3.300000,2.106925,0.633751
34,3.400000,2.170300,0.382893
35,3.500000,2.208589,0.630018
36,3.600000,2.271591,1.072009
37,3.700000,2.378792,0.987952
38,3.800000,2.477587,1.110313
39,3.900000,2.588618,0.654457
40,4.000000,2.654064,0.826237
41,4.100000,2.736688,0.656068
42,4.200000,2.802295,0.196159
43,4.300000,2.821911,0.195190
44,4.400000,2.841430,0.119023
45,4.500000,2.853332,0.559240
46,4.600000,2.909256,0.660293
47,4.700000,2.975285,0.702096
48,4.800000,3.045495,0.241598
49,4.900000,3.069655,0.352185
50,5.000000,3.104873,0.392159
51,5.100000,3.144089,0.323221
52,5.200000,3.176411,-0.219731
53,5.300000,3.154438,-0.284961
54,5.400000,3.125942,-0.189822
55,5.500000,3.106960,0.695581
56,5.600000,3.176518,0.709242
57,5.700000,3.247442,0.419767
58,5.800000,3.289419,0.419007
59,5.900000,3.331319,0.509545
60,6.000000,3.382274,0.776339
61,6.100000,3.459908,0.636147
62,6.200000,3.523522,0.808739
63,6.300000,3.604396,0.556049
64,6.400000,3.660001,0.635726
65,6.500000,3.723574,1.086361
66,6.600000,3.832210,1.014881
67,6.700000,3.933698,1.459964
68,6.800000,4.079695,1.075240
69,6.900000,4.187219,0.745762
70,7.000000,4.261795,0.761538
71,7.100000,4.337948,0.993950
72,7.200000,4.437343,1.037798
73,7.300000,4.541123,0.901012
74,7.400000,4.631225,1.053308
75,7.500000,4.736555,1.178268
76,7.600000,4.854382,1.177585
77,7.700000,4.972141,1.279469
